Nr.;Oznaczenie;Footprint;Ilo??;Nazwa / numer seryjny;Warto??;Tolerancja;Cena za szt. [z?];URL;;;
1;R11;res_0603;1;RC0603FR-07470RP;470;±1%;0,39;https://www.digikey.pl/pl/products/detail/yageo/RC0603FR-07470RP/4935414?gclsrc=aw.ds&&utm_adgroup=&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_High%20ROAS&utm_term=&productid=4935414&utm_content=&utm_id=go_cmp-20219749344_adg-_ad-__dev-c_ext-_prd-4935414_sig-CjwKCAjw--K_BhB5EiwAuwYoyv9OERyD6i3EOUGfIaiJzpOw-av66oD3v3duz0qnVq0PjW3WfmenLRoC9bUQAvD_BwE&gad_source=1&gclid=CjwKCAjw--K_BhB5EiwAuwYoyv9OERyD6i3EOUGfIaiJzpOw-av66oD3v3duz0qnVq0PjW3WfmenLRoC9bUQAvD_BwE;;;
2;R12,R6,R5,R8;res_0603;4;RC0603JR-13330RL;330;±5%;0,39;https://www.digikey.pl/pl/products/detail/yageo/RC0603JR-13330RL/14287581?gclsrc=aw.ds&&utm_adgroup=&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_High%20ROAS&utm_term=&productid=14287581&utm_content=&utm_id=go_cmp-20219749344_adg-_ad-__dev-c_ext-_prd-14287581_sig-CjwKCAjw--K_BhB5EiwAuwYoyvcKwOjykcLpGY_UFGCs1BSUy6M9eaLVtR9lWsWkeaeP-8t6UGkU0xoCURQQAvD_BwE&gad_source=1&gclid=CjwKCAjw--K_BhB5EiwAuwYoyvcKwOjykcLpGY_UFGCs1BSUy6M9eaLVtR9lWsWkeaeP-8t6UGkU0xoCURQQAvD_BwE;;;
3;R1,R2,R3;res_0603;3;RC0603FR-131KL;1k;±1%;0,39;https://www.digikey.pl/pl/products/detail/yageo/RC0603FR-131KL/12756423?gclsrc=aw.ds&&utm_adgroup=&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_High%20ROAS&utm_term=&productid=12756423&utm_content=&utm_id=go_cmp-20219749344_adg-_ad-__dev-c_ext-_prd-12756423_sig-CjwKCAjw--K_BhB5EiwAuwYoymhgCsCMHSYkH6AwaC_MdxxyMZNI3VGB_70Pt7j-eegcWUj9txHJnhoCXy4QAvD_BwE&gad_source=1&gclid=CjwKCAjw--K_BhB5EiwAuwYoymhgCsCMHSYkH6AwaC_MdxxyMZNI3VGB_70Pt7j-eegcWUj9txHJnhoCXy4QAvD_BwE;;;
4;R4,R9,R10,R7;res_0603;4;RC0603FR-13330KL;10k;±1%;0,39;https://www.digikey.pl/pl/products/detail/yageo/RC0603FR-13330KL/14287759?gclsrc=aw.ds&&utm_adgroup=&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_High%20ROAS&utm_term=&productid=14287759&utm_content=&utm_id=go_cmp-20219749344_adg-_ad-__dev-c_ext-_prd-14287759_sig-CjwKCAjw--K_BhB5EiwAuwYoynowIl_I35FHCdXXllQL7Rl1LMs-rKqL8sQJZd0OkghRYNvvOTqPQBoCFGcQAvD_BwE&gad_source=1&gclid=CjwKCAjw--K_BhB5EiwAuwYoynowIl_I35FHCdXXllQL7Rl1LMs-rKqL8sQJZd0OkghRYNvvOTqPQBoCFGcQAvD_BwE;;;
5;C6,C4,C3,C1,C7,C2,C10;cap_0603;7;GRM31CR60J107KEA8L;100u;±10%;0,46;https://www.digikey.com/en/products/detail/murata-electronics/GRM31CR60J107KEA8L/16286000;;;
6;C13;cap_0603;1;C0603C225K4PACTU;2.2u;±10%;0,47;https://www.digikey.pl/pl/products/detail/kemet/C0603C225K4PACTU/3471609?gclsrc=aw.ds&&utm_adgroup=&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_High%20ROAS&utm_term=&productid=3471609&utm_content=&utm_id=go_cmp-20219749344_adg-_ad-__dev-c_ext-_prd-3471609_sig-CjwKCAjw--K_BhB5EiwAuwYoyk_KRML9V5c9Sh9U1dJsNfh8r6tDMDlha9qPBb1a8hmmRZHPCgnbnxoCqigQAvD_BwE&gad_source=1&gclid=CjwKCAjw--K_BhB5EiwAuwYoyk_KRML9V5c9Sh9U1dJsNfh8r6tDMDlha9qPBb1a8hmmRZHPCgnbnxoCqigQAvD_BwE;;;
7;C11,C14,C5;cap_0603;3;;10u;±20%;1,6;https://www.mouser.pl/ProductDetail/TDK/C1608X5R1E106M080AC?qs=dfay7wIA1uGdHfZTkqsICA%3D%3D;;;
8;C12;cap_0603;1;C0603C104M5REC7411;100n;±20%;0,53;https://www.mouser.pl/ProductDetail/KEMET/C0603C104M5REC7411?qs=Mv7BduZupUgEZIIRfWkwkw%3D%3D&mgh=1&vip=1&utm_id=20549636368&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gclid=CjwKCAjw--K_BhB5EiwAuwYoyinkr2kCIMwEXHfyeeZH1i8KrZ2_T8YC1brlBBBWTZkly7T-AUNnxBoCtiEQAvD_BwE;;;
9;C9;CP_Elec_6.3x7.7;1;EEE-FN1V101XP;100uF;±20%;2,45;https://www.mouser.pl/ProductDetail/Panasonic/EEE-FN1V101XP?qs=OlC7AqGiEDmbk%2FCOXeagbw%3D%3D;;;
10;D1;D_SMA;1;;SS34;;4,45;https://www.tme.eu/en/details/ss34-cdi/smd-schottky-diodes/cdil/ss34/;;;
